nombre,valor
FUENTE 19V 1.3A (LAB3903),5000
CPU RULETA INTERBLOCK (LAB5143),1121134
CPU IMPU BALLY (LAB0314),0
CPU ARISTOCRAT HELIX PLUS (LAB5643),1890700
CPU ARISTOCRAT GEN7 WS VIRIDIA (LAB0030),2261000
CPU 039 IGT S2000  (LAB0303),130000
CARGADOR DE BATERIA PARA GRUPO ELECTROGENO,0
BATEA ULTRAS. YAXUN YX-3060 (LAB4804),325698
BAKCPLANE AINSWORTH A560 (LAB2506),350000
B/A MEI ADVANCE SCN6602 (LAB0037),690000
WIGOS- FUENTE FSE25H 5V 5A 25W (LAB4910),73569
UPS APC 1000VA (LAB1145),254789.65
TRAFO WMS BB1 (LAB5823),0
TOUCH SCREEN 32' BALLY A P V32 (LAB3939),0
TECLADO OLED ARIST HELIX 17030 (LAB4395),0
TECLADO OLED AINSWORTH A560 (LAB2715),1470000
TECLADO ARISTOCRAT OLED VERVE (LAB2552),2100000
SWITCH 16 PUERTOS TRENDNET (LAB4323),0
SPLITTER HDMI 8 PUERTOS (LAB1034),0
PULSADOR OLED IGT AVP (LAB0956),91000
PLACA TOUCH MONITOR ALFASTREET (LAB5456),0
PLACA HUB USB IGT CRYSTAL (LAB5455),70000
PLACA DE VIDEO VN. QUADRO 600 (LAB0833),342459
PLACA CONTR PUERTA ARUZE CUBEX (LAB5125),119000
PCB VIDEO WMS BLADE NXT3 REFUR  (LAB4809),916500
PCB VIDEO SG TWIST. SLANT TOP (LAB4160),1190
PCB VIDEO PCIE IGT AVP G23 (LAB0801),650000
PCB VIDEO GT430 ARIST C/DISIP (LAB2718),563254
PCB VIDEO GFORCE GT 430 ARISTO (LAB1549),412364.23
PCB VIDEO GF 5200 BALLY V32 (LAB0755),329000
PCB VIDEO CRYSTAL CORE (LAB5999),563254
PCB VIDEO CPU ARUZE CUBE X (LAB5980),0
PCB VIDEO CONTR TOPER CRYSTAL (LAB5146),0
PCB TEMPORIZADORA 5V SALA,0
